Time,AccelRobX,AccelRobY,AccelRobZ,TargetModelAngleX,TargetModelAngleY,TargetModelAngleZ,CurrentModelAngleX,CurrentModelAngleY,CurrentModelAngleZ,ClampedModelAngleX,ClampedModelAngleY,ClampedModelAngleZ
1431,0,29,0,29,-10,19,-20,30,20,30,-407,60,-20,82,20,86,-404,89,-20,82,20,86,-90,00
1466,0,49,0,10,-10,19,-7,00,34,30,-407,60,-18,75,22,88,-405,30,-18,75,22,88,-90,00
1488,0,49,0,10,-10,19,-7,00,34,30,-407,60,-16,99,24,59,-405,64,-16,99,24,59,-90,00
1544,0,29,0,59,-10,58,-41,30,20,30,-423,20,-20,63,23,95,-408,28,-20,63,23,95,-90,00
1590,0,59,0,59,-10,00,-41,30,41,30,-400,00,-23,73,26,55,-407,04,-23,73,26,55,-90,00
1619,0,78,0,29,-10,00,-20,30,54,60,-400,00,-23,22,30,76,-405,98,-23,22,30,76,-90,00
1640,0,29,0,10,-10,00,-7,00,20,30,-400,00,-20,79,29,19,-405,08,-20,79,29,19,-90,00
1660,0,29,0,00,-10,09,-0,00,20,30,-403,60,-17,67,27,86,-404,86,-17,67,27,86,-90,00
1680,0,29,0,20,-10,29,-14,00,20,30,-411,60,-17,12,26,72,-405,87,-17,12,26,72,-90,00
1698,0,49,0,20,-10,29,-14,00,34,30,-411,60,-16,65,27,86,-406,73,-16,65,27,86,-90,00
1721,0,49,0,20,-10,09,-14,00,34,30,-403,60,-16,25,28,83,-406,26,-16,25,28,83,-90,00
1740,0,49,0,00,-9,90,-0,00,34,30,-396,00,-13,82,29,65,-404,72,-13,82,29,65,-90,00
1758,0,49,0,00,-9,90,-0,00,34,30,-396,00,-11,74,30,34,-403,41,-11,74,30,34,-90,00
1776,0,29,0,29,-10,19,-20,30,20,30,-407,60,-13,03,28,84,-404,04,-13,03,28,84,-90,00
1795,0,29,0,29,-10,00,-20,30,20,30,-400,00,-14,12,27,56,-403,44,-14,12,27,56,-90,00
1813,0,49,0,29,-10,00,-20,30,34,30,-400,00,-15,04,28,57,-402,92,-15,04,28,57,-90,00
1831,0,49,0,20,-10,09,-14,00,34,30,-403,60,-14,89,29,43,-403,02,-14,89,29,43,-90,00
1854,0,29,0,20,-10,19,-14,00,20,30,-407,60,-14,75,28,06,-403,71,-14,75,28,06,-90,00
1871,0,49,0,29,-10,19,-20,30,34,30,-407,60,-15,59,29,00,-404,29,-15,59,29,00,-90,00
1895,0,49,0,10,-10,19,-7,00,34,30,-407,60,-14,30,29,79,-404,79,-14,30,29,79,-90,00
1913,0,49,0,10,-10,09,-7,00,34,30,-403,60,-13,20,30,47,-404,61,-13,20,30,47,-90,00
1931,0,59,0,20,-10,09,-14,00,41,30,-403,60,-13,32,32,09,-404,46,-13,32,32,09,-90,00
1955,0,49,0,20,-10,29,-14,00,34,30,-411,60,-13,42,32,42,-405,53,-13,42,32,42,-90,00
1974,0,49,0,20,-10,29,-14,00,34,30,-411,60,-13,51,32,70,-406,44,-13,51,32,70,-90,00
1993,0,49,0,20,-10,29,-14,00,34,30,-411,60,-13,58,32,94,-407,21,-13,58,32,94,-90,00
2015,0,59,0,10,-10,00,-7,00,41,30,-400,00,-12,60,34,20,-406,13,-12,60,34,20,-90,00
2042,0,59,0,20,-10,09,-14,00,41,30,-403,60,-12,81,35,26,-405,75,-12,81,35,26,-90,00
2060,0,29,0,20,-10,09,-14,00,20,30,-403,60,-12,99,33,02,-405,43,-12,99,33,02,-90,00
2082,0,49,0,29,-10,00,-20,30,34,30,-400,00,-14,08,33,21,-404,62,-14,08,33,21,-90,00
2107,0,49,0,39,-10,09,-27,30,34,30,-403,60,-16,07,33,37,-404,46,-16,07,33,37,-90,00
2133,0,49,0,10,-10,00,-7,00,34,30,-400,00,-14,71,33,51,-403,79,-14,71,33,51,-90,00
2155,0,49,0,10,-10,09,-7,00,34,30,-403,60,-13,55,33,63,-403,76,-13,55,33,63,-90,00
2186,0,78,0,00,-10,09,-0,00,54,60,-403,60,-11,52,36,78,-403,74,-11,52,36,78,-90,00
2211,0,78,0,20,-10,29,-14,00,54,60,-411,60,-11,89,39,45,-404,92,-11,89,39,45,-90,00
