Time,RawAccelX,RawAccelY,RawAccelZ,CalibRobotX,CalibRobotY,TargetModelPitch(X),TargetModelYaw(Y),TargetModelRoll(Z),CurrentModelPitch(X),CurrentModelYaw(Y),CurrentModelRoll(Z),ClampedModelPitch(X),ClampedModelYaw(Y),ClampedModelRoll(Z)
540,0,00,0,39,-10,09,0,20,0,00,0,00,0,00,14,00,0,00,0,00,2,10,0,00,0,00,2,10
592,0,00,0,39,-10,09,0,20,0,00,0,00,0,00,14,00,0,00,0,00,3,89,0,00,0,00,3,89
714,0,00,0,29,-10,00,0,20,-0,10,-7,00,0,00,14,00,-1,05,0,00,5,40,-1,05,0,00,5,40
743,-0,20,0,29,-10,19,0,00,-0,10,-7,00,0,00,0,00,-1,94,0,00,4,59,-1,94,0,00,4,59
777,-0,20,0,29,-10,19,0,00,-0,10,-7,00,0,00,0,00,-2,70,0,00,3,90,-2,70,0,00,3,90
805,0,00,0,29,-10,19,0,20,-0,10,-7,00,0,00,14,00,-3,35,0,00,5,42,-3,35,0,00,5,42
834,0,00,0,39,-10,09,0,20,0,00,0,00,0,00,14,00,-2,84,0,00,6,71,-2,84,0,00,6,71
864,-0,20,0,39,-10,09,0,00,0,00,0,00,0,00,0,00,-2,42,0,00,5,70,-2,42,0,00,5,70
890,-0,20,0,39,-10,09,0,00,0,00,0,00,0,00,0,00,-2,05,0,00,4,84,-2,05,0,00,4,84
914,-0,20,0,39,-10,09,0,00,0,00,0,00,0,00,0,00,-1,75,0,00,4,12,-1,75,0,00,4,12
935,-0,20,0,39,-10,09,0,00,0,00,0,00,0,00,0,00,-1,48,0,00,3,50,-1,48,0,00,3,50
964,0,00,0,29,-10,19,0,20,-0,10,-7,00,0,00,14,00,-2,31,0,00,5,08,-2,31,0,00,5,08
989,-0,20,0,29,-10,09,0,00,-0,10,-7,00,0,00,0,00,-3,02,0,00,4,31,-3,02,0,00,4,31
1015,-0,20,0,39,-10,09,0,00,0,00,0,00,0,00,0,00,-2,56,0,00,3,67,-2,56,0,00,3,67
1041,-0,20,0,29,-10,19,0,00,-0,10,-7,00,0,00,0,00,-3,23,0,00,3,12,-3,23,0,00,3,12
1065,-0,20,0,39,-10,09,0,00,0,00,0,00,0,00,0,00,-2,74,0,00,2,65,-2,74,0,00,2,65
1093,-0,20,0,39,-10,09,0,00,0,00,0,00,0,00,0,00,-2,33,0,00,2,25,-2,33,0,00,2,25
1118,0,00,0,39,-10,09,0,20,0,00,0,00,0,00,14,00,-1,98,0,00,4,01,-1,98,0,00,4,01
1144,-0,20,0,39,-10,09,0,00,0,00,0,00,0,00,0,00,-1,69,0,00,3,41,-1,69,0,00,3,41
1174,-0,20,0,39,-10,09,0,00,0,00,0,00,0,00,0,00,-1,43,0,00,2,90,-1,43,0,00,2,90
1198,-0,20,0,39,-10,09,0,00,0,00,0,00,0,00,0,00,-1,22,0,00,2,47,-1,22,0,00,2,47
1219,-0,20,0,39,-10,09,0,00,0,00,0,00,0,00,0,00,-1,03,0,00,2,10,-1,03,0,00,2,10
1247,-0,20,0,29,-10,19,0,00,-0,10,-7,00,0,00,0,00,-1,93,0,00,1,78,-1,93,0,00,1,78
1271,-0,20,0,29,-10,19,0,00,-0,10,-7,00,0,00,0,00,-2,69,0,00,1,51,-2,69,0,00,1,51
1300,-0,20,0,29,-10,19,0,00,-0,10,-7,00,0,00,0,00,-3,34,0,00,1,29,-3,34,0,00,1,29
1324,-0,20,0,39,-10,09,0,00,0,00,0,00,0,00,0,00,-2,84,0,00,1,09,-2,84,0,00,1,09
1346,-0,20,0,39,-10,09,0,00,0,00,0,00,0,00,0,00,-2,41,0,00,0,93,-2,41,0,00,0,93
1368,-0,20,0,39,-10,09,0,00,0,00,0,00,0,00,0,00,-2,05,0,00,0,79,-2,05,0,00,0,79
1397,-0,20,0,39,-10,09,0,00,0,00,0,00,0,00,0,00,-1,74,0,00,0,67,-1,74,0,00,0,67
1418,-0,20,0,39,-10,09,0,00,0,00,0,00,0,00,0,00,-1,48,0,00,0,57,-1,48,0,00,0,57
1438,-0,20,0,39,-10,09,0,00,0,00,0,00,0,00,0,00,-1,26,0,00,0,49,-1,26,0,00,0,49
1464,-0,20,0,39,-10,09,0,00,0,00,0,00,0,00,0,00,-1,07,0,00,0,41,-1,07,0,00,0,41
1505,-0,20,0,39,-10,09,0,00,0,00,0,00,0,00,0,00,-0,91,0,00,0,35,-0,91,0,00,0,35
1545,0,00,0,39,-10,29,0,20,0,00,0,00,0,00,14,00,-0,77,0,00,2,40,-0,77,0,00,2,40
1577,0,00,0,39,-10,49,0,20,0,00,0,00,0,00,14,00,-0,66,0,00,4,14,-0,66,0,00,4,14
1613,-0,20,0,49,-10,09,0,00,0,10,7,00,0,00,0,00,0,49,0,00,3,52,0,49,0,00,3,52
1644,-0,20,0,29,-10,19,0,00,-0,10,-7,00,0,00,0,00,-0,63,0,00,2,99,-0,63,0,00,2,99
1671,-0,20,0,39,-10,09,0,00,0,00,0,00,0,00,0,00,-0,54,0,00,2,54,-0,54,0,00,2,54
1699,-0,20,0,39,-10,29,0,00,0,00,0,00,0,00,0,00,-0,46,0,00,2,16,-0,46,0,00,2,16
