Time,RawAccelX,RawAccelY,RawAccelZ,CalibRobotX,CalibRobotY,TargetModelPitch(X),TargetModelYaw(Y),TargetModelRoll(Z),ClampedModelPitch(X),ClampedModelYaw(Y),ClampedModelRoll(Z)
1588,0,00,0,39,-10,09,0,20,0,00,-0,00,0,00,14,00,3,73,0,00,4,15
1604,-0,20,0,29,-10,19,0,00,-0,10,7,00,0,00,0,00,4,22,0,00,3,52
1622,-0,20,0,29,-10,09,0,00,-0,10,7,00,0,00,0,00,4,64,0,00,3,00
1641,0,00,0,39,-10,09,0,20,0,00,-0,00,0,00,14,00,3,94,0,00,4,65
1660,-0,20,0,39,-10,09,0,00,0,00,-0,00,0,00,0,00,3,35,0,00,3,95
1678,-0,20,0,39,-10,09,0,00,0,00,-0,00,0,00,0,00,2,85,0,00,3,36
1699,-0,20,0,49,-10,19,0,00,0,10,-7,00,0,00,0,00,1,37,0,00,2,85
1716,-0,20,0,39,-10,09,0,00,0,00,-0,00,0,00,0,00,1,17,0,00,2,43
1735,0,00,0,39,-10,09,0,20,0,00,-0,00,0,00,14,00,0,99,0,00,4,16
1753,0,00,0,29,-10,19,0,20,-0,10,7,00,0,00,14,00,1,89,0,00,5,64
1771,0,00,0,29,-10,19,0,20,-0,10,7,00,0,00,14,00,2,66,0,00,6,89
1789,0,00,0,29,-10,19,0,20,-0,10,7,00,0,00,14,00,3,31,0,00,7,96
1807,0,00,0,29,-10,00,0,20,-0,10,7,00,0,00,14,00,3,86,0,00,8,86
1825,-0,20,0,29,-10,00,0,00,-0,10,7,00,0,00,0,00,4,33,0,00,7,53
1846,0,00,0,49,-10,19,0,20,0,10,-7,00,0,00,14,00,2,63,0,00,8,50
1865,0,00,0,39,-10,09,0,20,0,00,-0,00,0,00,14,00,2,24,0,00,9,33
1883,-0,20,0,39,-10,09,0,00,0,00,-0,00,0,00,0,00,1,90,0,00,7,93
1902,-0,20,0,39,-10,09,0,00,0,00,-0,00,0,00,0,00,1,62,0,00,6,74
1921,-0,20,0,39,-10,19,0,00,0,00,-0,00,0,00,0,00,1,37,0,00,5,73
1940,-0,20,0,29,-10,19,0,00,-0,10,7,00,0,00,0,00,2,22,0,00,4,87
1956,-0,20,0,29,-10,19,0,00,-0,10,7,00,0,00,0,00,2,94,0,00,4,14
1972,-0,20,0,29,-10,19,0,00,-0,10,7,00,0,00,0,00,3,55,0,00,3,52
1988,-0,20,0,29,-10,19,0,00,-0,10,7,00,0,00,0,00,4,06,0,00,2,99
2004,-0,20,0,29,-10,19,0,00,-0,10,7,00,0,00,0,00,4,50,0,00,2,54
2020,-0,20,0,39,-10,09,0,00,0,00,-0,00,0,00,0,00,3,83,0,00,2,16
2036,-0,20,0,39,-10,09,0,00,0,00,-0,00,0,00,0,00,3,25,0,00,1,84
2055,0,00,0,29,-10,19,0,20,-0,10,7,00,0,00,14,00,3,82,0,00,3,66
2073,0,00,0,29,-10,29,0,20,-0,10,7,00,0,00,14,00,4,29,0,00,5,21
