Time,AccelX,AccelY,AccelZ,TargetAngleX,TargetAngleY,TargetAngleZ,CurrentAngleX,CurrentAngleY,CurrentAngleZ
1726,0,29,0,59,-10,00,8,85,-150,00,-2,90,9,35,-150,40,-2,71
1748,0,29,0,59,-10,00,8,85,-150,00,-2,90,9,27,-150,34,-2,71
1765,0,29,0,59,-10,00,8,85,-150,00,-2,90,9,21,-150,29,-2,71
1781,0,20,0,59,-10,00,8,85,-150,00,-2,00,9,15,-150,24,-2,61
1799,0,20,0,59,-10,00,8,85,-150,00,-2,00,9,11,-150,21,-2,52
1818,0,20,0,59,-10,00,8,85,-150,00,-2,00,9,07,-150,18,-2,44
1836,0,20,0,69,-10,09,10,35,-151,35,-2,00,9,26,-150,35,-2,37
1854,0,20,0,69,-10,09,10,35,-151,35,-2,00,9,43,-150,50,-2,32
1872,0,29,0,69,-9,90,10,35,-148,50,-2,90,9,56,-150,20,-2,40
1893,0,29,0,69,-9,90,10,35,-148,50,-2,90,9,68,-149,95,-2,48
1909,0,29,0,69,-9,90,10,35,-148,50,-2,90,9,78,-149,73,-2,54
1925,0,29,0,69,-10,09,10,35,-151,35,-2,90,9,87,-149,97,-2,60
1943,0,29,0,69,-10,09,10,35,-151,35,-2,90,9,94,-150,18,-2,64
1964,0,20,0,59,-10,00,8,85,-150,00,-2,00,9,78,-150,18,-2,55
1983,0,20,0,59,-10,00,8,85,-150,00,-2,00,9,64,-150,18,-2,46
2001,0,29,0,59,-10,00,8,85,-150,00,-2,90,9,52,-150,18,-2,53
2018,0,29,0,59,-10,00,8,85,-150,00,-2,90,9,42,-150,18,-2,58
2038,0,29,0,59,-10,09,8,85,-151,35,-2,90,9,33,-150,35,-2,63
2056,0,29,0,69,-10,09,10,35,-151,35,-2,90,9,49,-150,50,-2,67
2076,-0,20,0,78,-10,00,11,70,-150,00,2,00,9,82,-150,43,-1,97
2097,-0,20,0,78,-10,00,11,70,-150,00,2,00,10,10,-150,36,-1,38
2116,-0,20,0,78,-10,00,11,70,-150,00,2,00,10,34,-150,31,-0,87
2133,-0,20,0,69,-9,90,10,35,-148,50,2,00,10,34,-150,04,-0,44
2149,0,29,0,69,-9,90,10,35,-148,50,-2,90,10,34,-149,81,-0,81
2165,0,20,0,69,-10,09,10,35,-151,35,-2,00,10,34,-150,04,-0,99
2181,0,20,0,69,-10,09,10,35,-151,35,-2,00,10,34,-150,24,-1,14
2199,0,29,0,59,-10,39,8,85,-155,85,-2,90,10,12,-151,08,-1,40
2217,0,29,0,59,-10,09,8,85,-151,35,-2,90,9,93,-151,12,-1,63
2235,0,29,0,69,-10,09,10,35,-151,35,-2,90,9,99,-151,15,-1,82
2253,0,29,1,27,-10,58,19,05,-158,70,-2,90,11,35,-152,29,-1,98
2270,-1,37,1,27,-10,58,19,05,-158,70,13,70,12,50,-153,25,0,37
2287,0,59,0,59,-10,00,8,85,-150,00,-5,90,11,96,-152,76,-0,57
2304,0,59,0,59,-10,00,8,85,-150,00,-5,90,11,49,-152,35,-1,37
2321,0,59,0,59,-10,00,8,85,-150,00,-5,90,11,09,-151,99,-2,05
2339,0,59,0,59,-10,19,8,85,-152,85,-5,90,10,76,-152,12,-2,63
2356,-0,29,0,88,-10,19,13,20,-152,85,2,90,11,12,-152,23,-1,80
2373,-0,29,0,78,-10,00,11,70,-150,00,2,90,11,21,-151,90,-1,09
